127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/js/jquery.js, HTTP/1.1, 200, 0.000655
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/js/calendar.js, HTTP/1.1, 200, 0.000290
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/js/web2py.js, HTTP/1.1, 200, 0.000506
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/css/web2py.css, HTTP/1.1, 200, 0.000458
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000213
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000386
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000603
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/js/share.js, HTTP/1.1, 200, 0.000592
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000416
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/images/twitter.png, HTTP/1.1, 200, 0.000471
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/images/gplus-32.png, HTTP/1.1, 200, 0.000430
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/images/facebook.png, HTTP/1.1, 200, 0.000663
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/images/favicon.ico, HTTP/1.1, 200, 0.000384
127.0.0.1, 2014-11-17 16:29:34, GET, /admin/default/design/sentinella, HTTP/1.1, 200, 0.054131
127.0.0.1, 2014-11-17 16:29:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000193
127.0.0.1, 2014-11-17 16:29:36, GET, /sentinella/default/index, HTTP/1.1, 200, 0.016292
127.0.0.1, 2014-11-17 16:29:46, GET, /sentinella/default/index, HTTP/1.1, 200, 0.010786
